SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
Portela - PE,2.152,2.183,0,0,0,0,31,"1,44%",-2.152,"-100,00%",,,
Lucas Cavalcanti - PE,3.018,3.762,0,0,0,0,744,"24,65%",-3.018,"-100,00%",,,
Felix - RN,1.905,1.928,0,0,0,0,23,"1,21%",-1.905,"-100,00%",,,
João Gemeos - PB,1.918,2.338,0,0,0,0,420,"21,90%",-1.918,"-100,00%",,,
Pedro Vilaça - PE,2.385,2.471,0,0,0,0,86,"3,61%",-2.385,"-100,00%",,,
Ciro - PE,1.130,1.171,0,0,0,0,41,"3,63%",-1.130,"-100,00%",,,
Leonardo Gemeos - PB,1.091,1.094,0,0,0,0,3,"0,27%",-1.091,"-100,00%",,,
Igor Fernandes - RN,863,871,0,0,0,0,8,"0,93%",-863,"-100,00%",,,
Total,35.616,37.730,0,0,0,0,2.114,"5,94%",-35.616,"-100,00%",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SERIE C,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Pedro Oliveira,Camaragibe,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,11.483,11523,,,,,40,"0,35%",-11.483,"-100,00%",,,https://www.instagram.com/pedroholiveira.14/
TikTok,49,50,,,,,1,"2,04%",-49,"-100,00%",,,https://www.tiktok.com/@pedroholiveira.14/
X,2,2,,,,,0,"0,00%",-2,"-100,00%",,,https://x.com/pedroOlv14?t=JzLMlKiLeyKWvrst6cm8qA&s=09
Youtube,415,415,,,,,0,"0,00%",-415,"-100,00%",,,https://youtube.com/@pedroholiveira14?si=zJJ-h2TGhLyzS1_C
